Gene_ID,Major_splicing_variants,Seq_info,missing_seq_index
At5g42440,AT5G42440.1,#N/A,AT5G42440.1
At5g53890,AT5G53890.1,Athaliana_7534,0
At1g34420,AT1G34420.1,Athaliana_10310,0
At2g41820,AT2G41820.1,Athaliana_14521,0
At1g08590,AT1G08590.1,Athaliana_11681,0
At1g09970,AT1G09970.2,Athaliana_23210,0
At1g17230,AT1G17230.1,Athaliana_19656,0
At1g17750,AT1G17750.1,Athaliana_1061,0
At1g28440,AT1G28440.1,Athaliana_12540,0
At1g34110,AT1G34110.1,Athaliana_7010,0
At1g72180,AT1G72180.1,Athaliana_7508,0
At1g73080,AT1G73080.1,Athaliana_21524,0
At1g75820,AT1G75820.1,Athaliana_5273,0
At2g33170,AT2G33170.1,Athaliana_22240,0
At3g19700,AT3G19700.1,Athaliana_19564,0
At3g24240,AT3G24240.1,Athaliana_26488,0
At3g49670,AT3G49670.1,Athaliana_45,0
At4g20140,AT4G20140.1,Athaliana_11017,0
At4g20270,AT4G20270.1,Athaliana_17071,0
At4g26540,AT4G26540.1,Athaliana_3035,0
At4g28490,AT4G28490.1,Athaliana_26354,0
At4g28650,AT4G28650.1,Athaliana_14549,0
At5g44700,AT5G44700.1,Athaliana_6089,0
At5g48940,AT5G48940.1,Athaliana_1373,0
At5g49660,AT5G49660.1,Athaliana_13842,0
At5g56040,AT5G56040.2,Athaliana_24163,0
At5g61480,AT5G61480.1,Athaliana_4710,0
At5g63930,AT5G63930.1,Athaliana_5427,0
At5g65700,AT5G65700.1,Athaliana_21039,0
At5g65710,AT5G65710.1,Athaliana_17508,0
At2g24130,AT2G24130.1,Athaliana_12903,0
At3g47090,AT3G47090.1,Athaliana_26884,0
At3g47110,AT3G47110.1,Athaliana_22401,0
At3g47570,AT3G47570.1,Athaliana_14106,0
At3g47580,AT3G47580.1,Athaliana_9506,0
At5g20480,AT5G20480.1,Athaliana_10269,0
At5g39390,AT5G39390.1,Athaliana_2240,0
At5g46330,AT5G46330.1,Athaliana_24101,0
At1g35710,AT1G35710.1,Athaliana_11517,0
At4g08850,AT4G08850.1,Athaliana_1095,0
At1g31420,AT1G31420.1,Athaliana_3545,0
At1g78530,AT1G78530.1,#N/A,AT1G78530.1
At2g35620,AT2G35620.1,Athaliana_1326,0
At5g62710,AT5G62710.1,Athaliana_9840,0
At2g26330,AT2G26330.1,Athaliana_17937,0
At5g07180,AT5G07180.1,Athaliana_13495,0
At5g62230,AT5G62230.1,Athaliana_11637,0
At2g16250,AT2G16250.1,Athaliana_21042,0
At4g39270,AT4G39270.1,Athaliana_22826,0
At5g51350,AT5G51350.1,Athaliana_27251,0
At1g69270,AT1G69270.1,Athaliana_5889,0
At3g02130,AT3G02130.1,Athaliana_13250,0
At5g25930,AT5G25930.1,Athaliana_1926,0
At1g51940,AT1G51940.1,Athaliana_13615,0
At3g21630,AT3G21630.1,Athaliana_12008,0
At2g23770,AT2G23770.1,Athaliana_8325,0
At2g33580,AT2G33580.1,Athaliana_4684,0
At2g31880,AT2G31880.1,Athaliana_7450,0
At2g46850,AT2G46850.1,#N/A,AT2G46850.1
At3g01840,AT3G01840.1,Athaliana_8439,0
At3g57120,AT3G57120.1,#N/A,AT3G57120.1
At5g06940,AT5G06940.1,Athaliana_596,0
At5g13290,AT5G13290.1,#N/A,AT5G13290.1
At1g10620,AT1G10620.1,#N/A,AT1G10620.1
At1g23540,AT1G23540.1,#N/A,AT1G23540.1
At1g26150,AT1G26150.1,#N/A,AT1G26150.1
At1g49270,AT1G49270.1,#N/A,AT1G49270.1
At1g52290,AT1G52290.1,#N/A,AT1G52290.1
At1g55200,AT1G55200.1,#N/A,AT1G55200.1
At1g68690,AT1G68690.1,#N/A,AT1G68690.1
At1g70450,AT1G70450.1,#N/A,AT1G70450.1
At1g70460,AT1G70460.1,#N/A,AT1G70460.1
At2g18470,AT2G18470.1,#N/A,AT2G18470.1
At3g13690,AT3G13690.1,#N/A,AT3G13690.1
At3g18810,AT3G18810.1,#N/A,AT3G18810.1
At3g24400,#N/A,#N/A,#N/A
At3g24540,AT3G24540.1,#N/A,AT3G24540.1
At3g24550,AT3G24550.1,#N/A,AT3G24550.1
At4g32710,#N/A,#N/A,#N/A
At4g34440,AT4G34440.1,#N/A,AT4G34440.1
At5g38560,AT5G38560.1,#N/A,AT5G38560.1
At5g56790,AT5G56790.1,#N/A,AT5G56790.1
At1g11050,AT1G11050.1,#N/A,AT1G11050.1
At2g48010,AT2G48010.1,#N/A,AT2G48010.1
At1g11300,AT1G11300.1,#N/A,AT1G11300.1
At1g11330,AT1G11330.1,#N/A,AT1G11330.1
At1g11340,AT1G11340.1,#N/A,AT1G11340.1
At1g11350,AT1G11350.1,#N/A,AT1G11350.1
At1g11410,AT1G11410.1,#N/A,AT1G11410.1
At1g61610,AT1G61610.1,#N/A,AT1G61610.1
At1g65790,AT1G65790.1,#N/A,AT1G65790.1
At1g65800,AT1G65800.1,#N/A,AT1G65800.1
At4g03230,AT4G03230.1,#N/A,AT4G03230.1
