Gene,Batch_name
AT1G78980,SRF5
AT1G53730,SRF6
AT3G14350,SRF7
AT4G22130,SRF8
AT1G11130,SRF9
AT3G24660,TMKL1
AT1G14390,AT1G14390
AT1G25320,AT1G25320
AT1G63430,AT1G63430
AT1G64210,AT1G64210
AT1G67510,AT1G67510
AT1G68400,AT1G68400
AT1G72460,AT1G72460
AT2G01210,AT2G01210
AT2G02780,AT2G02780
AT2G23300,AT2G23300
AT2G23950,AT2G23950
AT2G24230,AT2G24230
AT2G42290,AT2G42290
AT2G25440,RLP20
AT1G28340,RLP4
AT2G32660,RLP22
AT3G05660,RLP33
AT3G24982,RLP40
AT3G25010,RLP41
AT3G25020,RLP42
AT4G04220,RLP46
AT4G13920,RLP50
AT2G15080,RLP19
AT3G11010,RLP34
AT3G05650,RLP32
AT5G27060,RLP53
AT3G11080,RLP35
AT3G05370,RLP31
AT3G23110,RLP37
AT3G23120,RLP38
AT1G71400,RLP11
AT1G71390,RLP12
AT4G18760,RLP51
AT1G80080,RLP17 
AT4G13900,RLP49
AT4G31100,AT4G31100
AT4G31110,AT4G31110
AT1G19390,AT1G19390
AT1G69730,AT1G69730
AT1G16260,AT1G16260
AT2G33080,RLP28
AT2G42800,RLP29
AT1G34290,RLP5
AT3G05360,RLP30
AT2G32680,RLP23
AT5G54380,THE1
AT5G24010,AT5g24010
AT4G32285,CAP1
AT1G30570,HERK2
AT3G04690,ANX1
AT5G28680,ANX2
Y2393,Y2393
At2G23200,At2G23200
Y5389,Y5389
Y5900,Y5900
Y5392,Y5392
AT1G45616,RLP6
AT3G23010,RLP36
AT2G33050,RLP26
AT2G33060,RLP27
AT1G74180,RLP14/TMM
AT1G65380,RLP10/CLV2
AT1G51800,IOS1
AT2G25790,SKM1
AT2G27060,FIR
AT3G51740,IMK2
AT2G16250,AT2G16250
AT2G45340,AT2G45340
AT4G22730,AT4G22730
AT2G24130,AT2G24130
AT3G47090,AT3G47090
AT3G47580,AT3G47580
AT1G07550,AT1G07550
AT1G07560,AT1G07560
AT1G51810,AT1G51810
AT1G51820,AT1G51820
AT1G67720,AT1G67720
AT2G28960,AT2G28960
AT2G28990,AT2G28990
AT2G37050,AT2G37050
AT4G20450,AT4G20450
AT5G16900,AT5G16900
AT5G48740,AT5G48740
AT5G59650,AT5G59650
AT5G59680,AT5G59680
AT1G12460,AT1G12460
AT1G62950,AT1G62950
AT3G28040,AT3G28040
AT3G56370,AT3G56370
AT4G20940,GHR1
AT4G36180,AT4G36180
AT5G10020,AT5G10020
AT1G24650,AT1G24650
AT1G66150,TMK1
AT2G01820,AT2G01820
AT3G53380 ,AT3G53380 
AT1G74360,AT1G74360
AT3G46340,AT3G46340
AT3G46420,AT3G46420
AT4G29180,RHS16
AT3G02130,RPK2
AT5G07280,EMS1
AT1G08590,AT1G08590
AT5G25930,AT5G25930
AT5G49660,XIP1
AT5G56040,SKM2
AT5G61480,PXY
AT5G63930,AT5G63930
AT1G06840,AT1G06840
AT1G17230,AT1G17230
AT1G35710,AT1G35710
AT3G19700,IKU2
AT4G39270,AT4G39270
AT1G29750,RKF1
AT1G49100,AT1G49100
AT1G51790,AT1G51790
AT1G51890,AT1G51890
AT2G19230,AT2G19230
AT3G21340,AT3G21340
AT3G46350,AT3G46350
AT4G29450,AT4G29450
AT1G07650,LMK1
AT1G29720,AT1G29720
AT1G29730,AT1G29730
AT1G34110,RGI5
AT1G34420,AT1G34420
AT1G53420,AT1G53420
AT1G53430,NILR2
AT1G53440,AT1G53440
AT1G56140,AT1G56140
AT1G66830,AT1G66830
AT1G75640,MUS
AT1G79620,VRLK1
AT2G15300,AT2G15300
AT2G33170,AT2G33170
AT3G24240,RGFR1
AT3G46370,AT3G46370
AT3G47110,AT3G47110
AT3G53590,AT3G53590
AT4G08850,AT4G08850
AT4G26540,AT4G26540
AT4G28650,AT4G28650
AT4G31250,AT4G31250
AT4G34220,AT4G34220
AT5G01950,AT5G01950
AT5G37450,AT5G37450
AT5G45840,AT5G45840
AT5G48940,AT5G48940
AT5G49760,AT5G49760
AT5G49770,AT5G49770
AT5G49780,AT5G49780
AT5G59670,AT5G59670
AT3G47570,AT3G47570
AT1G60630,AT1G60630
AT1G56120,AT1G56120
AT1G56130,AT1G56130
