Gene,Protein,Symbols,Batch_Symbol
AT1G69730,AT1G69730.1,,AT1G69730
AT1G79680,AT1G79680.1,"WAKL10, ATWAKL10",WAKL10
AT4G31110,AT4G31110.1,,AT4G31110
AT1G19390,AT1G19390.1,,AT1G19390
AT4G31100,AT4G31100.1,,AT4G31100
AT1G16110,AT1G16110.1,WAKL6,WAKL6
AT1G21210,AT1G21210.1,WAK4,WAK4
AT1G21270,AT1G21270.1,WAK2,WAK2
AT1G21240,AT1G21240.1,WAK3,WAK3
AT1G21250,AT1G21250.1,"WAK1, PRO25",WAK1
AT1G21230,AT1G21230.1,WAK5,WAK5
AT1G11050,AT1G11050.1,,AT1G11050
AT1G52310,AT1G52310.1,,AT1G52310
AT2G21480,AT2G21480.1,,Y2214
AT4G39110,AT4G39110.1,,AT4G39110
AT1G67000,AT1G67000.1,,AT1G67000
AT1G25390,AT1G25390.1,,AT1G25390
AT1G66930,AT1G66930.1,,AT1G66930
AT1G66910,AT1G66910.1,,AT1G66910
AT1G67720,AT1G67720.1,,AT1G67720
AT2G37050,AT2G37050.3,,AT2G37050
AT1G51790,AT1G51790.2,,AT1G51790
AT1G51800,AT1G51800.1,,IOS1
AT1G51910,AT1G51910.1,,AT1G51910
AT1G51880,AT1G51880.1,RHS6,AT1G51880
AT1G51890,AT1G51890.2,,AT1G51890
AT1G51860,AT1G51860.1,,AT1G51860
AT1G51870,AT1G51870.1,,
AT4G29180,AT4G29180.2,RHS16,RHS16
AT4G29450,AT4G29450.1,,AT4G29450
AT1G05700,AT1G05700.2,,AT1G05700
AT2G19190,AT2G19190.1,FRK1,FRK1
AT4G29990,AT4G29990.1,,AT4G29990
AT2G19210,AT2G19210.1,,
AT2G19230,AT2G19230.1,,AT2G19230
AT5G59650,AT5G59650.2,,AT5G59650
AT1G07560,AT1G07560.1,,AT1G07560
AT4G20450,AT4G20450.1,,AT4G20450
AT2G28960,AT2G28960.2,,AT2G28960
AT2G29000,AT2G29000.1,,AT2G29000
AT3G46350,AT3G46350.1,,AT3G46350
AT3G46340,AT3G46340.1,,AT3G46340
AT3G46420,AT3G46420.1,,AT3G46420
AT3G46400,AT3G46400.1,,AT3G46400
AT3G46330,AT3G46330.1,MEE39,AT3G46330
AT1G07550,AT1G07550.1,,AT1G07550
AT2G14510,AT2G14510.1,,
AT2G14440,AT2G14440.1,,AT2G14440
AT5G59660,AT5G59660.3,,AT5G59660
AT5G59670,AT5G59670.2,,AT5G59670
AT5G59680,AT5G59680.1,,AT5G59680
AT5G16900,AT5G16900.3,,AT5G16900
